Durusdinium33176	potassium:proton antiporter activity
Durusdinium14439	unfolded protein binding
Durusdinium49254	GHKL domain
Durusdinium49022	peptidylprolyl
Durusdinium52296	Ulp1 protease family, C-terminal catalytic domain
Durusdinium21132	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Durusdinium42282	Wu fj29h11
Durusdinium33552	phosphoglycerate dehydrogenase activity
Durusdinium19866	phosphoprotein phosphatase activity
Durusdinium34819	Ran GTPase binding. It is involved in the biological process described with intracellular protein transport
Durusdinium19229	COBW domain containing
Durusdinium41140	Responsible for synthesis of pseudouridine from uracil
Durusdinium30127	Golgi vesicle fusion to target membrane
Durusdinium27646	Belongs to the protein kinase superfamily
Durusdinium38469	Serine/Threonine protein kinases, catalytic domain
Durusdinium46837	gamma-glutamylcyclotransferase activity
Durusdinium50162	phosphoribosyl-ATP diphosphatase activity
Durusdinium25079	Q COG3321 Polyketide synthase modules and related proteins
Durusdinium43846	oxidoreductase activity
Durusdinium7315	Mitochondrial carrier
Durusdinium8658	Protein kinase, cGMP-dependent, type I
Durusdinium24306	Dual specificity phosphatase, catalytic domain
Durusdinium8004	Mitochondrial carrier protein
Durusdinium46598	Metallo-beta-lactamase superfamily
Durusdinium38837	DEAH (Asp-Glu-Ala-His) box polypeptide 35
Durusdinium49943	Proteasome subunit beta
Durusdinium24806	Belongs to the cytochrome b5 family
Durusdinium51688	Glycosyltransferase Family 4
Durusdinium50280	RF-1 domain
Durusdinium25196	Belongs to the protein kinase superfamily
Durusdinium52891	AMMECR1
Durusdinium41147	Chlorophyll A-B binding protein
Durusdinium27984	2-aminoadipate transaminase activity
Durusdinium19539	negative regulation of mRNA splicing, via spliceosome
Durusdinium24422	Psort location Cytoplasmic, score 8.96
Durusdinium33720	UTP:glucose-1-phosphate uridylyltransferase activity
Durusdinium21963	Belongs to the actin family
Durusdinium28876	Belongs to the FPP GGPP synthase family
Durusdinium9575	Drug Metabolite Transporter (DMT) Superfamily. Source PGD
Durusdinium30578	CDP-glycerol diphosphatase activity
Durusdinium27530	BTB/POZ domain
Durusdinium2378	tRNA (cytosine-5-)-methyltransferase activity
Durusdinium31420	Receptor family ligand binding region
Durusdinium18053	Family with sequence similarity 151 member
Durusdinium11883	Catalyzes the conversion of GTP to 2,5-diamino-6- ribosylamino-4(3H)-pyrimidinone 5'-phosphate (DARP), formate and pyrophosphate
Durusdinium24828	homoserine dehydrogenase
Durusdinium33953	Alpha-tubulin suppressor and related RCC1 domain-containing
Durusdinium42814	Domain of unknown function (DUF4483)
Durusdinium27563	transporter
Durusdinium34121	dual specificity
Durusdinium39608	Alpha amylase, C-terminal all-beta domain
Durusdinium24380	protein serine/threonine kinase activity
Durusdinium18288	Mitochondrial branched-chain alpha-ketoacid dehydrogenase kinase
Durusdinium7284	Belongs to the RuvB family
Durusdinium12248	Vacuolar ATP synthase subunit D
Durusdinium52136	Non-specific serine threonine protein kinase
Durusdinium20280	heme binding. It is involved in the biological process described with oxidation-reduction process
Durusdinium38649	MutL C terminal dimerisation domain
Durusdinium33411	thiopurine S-methyltransferase activity
Durusdinium39261	BEST Arabidopsis thaliana protein match is P-loop containing nucleoside triphosphate hydrolases superfamily protein (TAIR
Durusdinium25782	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Durusdinium1292	tRNA synthetases class II (A)
Durusdinium10274	Sulfate permease and related transporters (MFS superfamily)
Durusdinium24252	Calcium-binding protein
Durusdinium47552	Surfeit locus protein 2 (SURF2)
Durusdinium24579	Fucosyltransferase activity. It is involved in the biological process described with protein glycosylation
Durusdinium16665	pseudouridine synthase activity
Durusdinium9785	Peptidyl-prolyl cis-trans isomerase
Durusdinium41191	Low-potential cytochrome c that plays a role in the oxygen-evolving complex of photosystem II
Durusdinium33762	Involved in the retrieval of endoplasmic reticulum membrane proteins from the early Golgi compartment
Durusdinium37115	ATPase, P-type (transporting), HAD superfamily, subfamily IC
Durusdinium42966	uropod organization
Durusdinium14951	Cyclin dependent kinase binding protein
Durusdinium19177	Belongs to the MT-A70-like family
Durusdinium2967	Calcium calmodulin-dependent protein kinase. Source PGD
Durusdinium36948	anterograde neuronal dense core vesicle transport
Durusdinium21453	Tim17/Tim22/Tim23/Pmp24 family
Durusdinium28158	molybdate ion transmembrane transporter activity
Durusdinium32112	Protein tyrosine kinase
Durusdinium31550	Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family
Durusdinium55387	PPPDE putative peptidase domain
Durusdinium25206	Calcium-dependent protein kinase
Durusdinium28907	alpha-1,3-glucosidase activity
Durusdinium696	SET domain
Durusdinium19263	EF hand
Durusdinium37691	Belongs to the AAA ATPase family
Durusdinium38148	phosphoethanolamine N-methyltransferase
Durusdinium46256	ubiE/COQ5 methyltransferase family
Durusdinium21170	cysteine-type endopeptidase inhibitor activity
Durusdinium40398	Mycolic acid cyclopropane synthetase
Durusdinium21164	ubiquitin conjugating enzyme activity
Durusdinium46691	Serine/Threonine protein kinases, catalytic domain
Durusdinium40174	Chlorophyll A-B binding protein
Durusdinium31769	Prolyl 4-hydroxylase alpha subunit homologues.
Durusdinium4837	glutathione transferase activity
Durusdinium29782	DYW family of nucleic acid deaminases
Durusdinium52777	ribosomal protein L13
Durusdinium35234	FAD-dependent oxidoreductase
Durusdinium16705	serine-type peptidase activity
Durusdinium40095	Metallo-beta-lactamase superfamily
Durusdinium17564	Sugar (and other) transporter
Durusdinium34437	Specifically methylates the cytosine at position 1407 (m5C1407) of 16S rRNA
Durusdinium26137	Microfibril-associated/Pre-mRNA processing
Durusdinium28030	cysteine desulfurase activity
Durusdinium27114	tRNA (guanine-N2-)-methyltransferase activity
Durusdinium10251	Belongs to the sirtuin family. Class I subfamily
Durusdinium22453	NADP-dependent
Durusdinium11993	Glutathione S-transferase, N-terminal domain
Durusdinium30089	Cobalamin synthesis protein cobW C-terminal domain
Durusdinium21260	Beta-Casp domain
Durusdinium27137	transcription initiation from RNA polymerase III promoter
Durusdinium17826	Subtilase family
Durusdinium11800	photosynthetic electron transport in photosystem I
Durusdinium27916	-
Durusdinium39391	Glycoside hydrolase. Source PGD
Durusdinium27077	Methylase involved in ubiquinone menaquinone biosynthesis
Durusdinium15192	Alpha-kinase family
Durusdinium54416	proton export across plasma membrane
Durusdinium35538	calcium-dependent cysteine-type endopeptidase activity
Durusdinium25484	Methylates ribosomal protein L11
Durusdinium39475	Clathrin is the major protein of the polyhedral coat of coated pits and vesicles
Durusdinium7652	Antibiotic biosynthesis monooxygenase
Durusdinium33168	(RNA) helicase
Durusdinium14921	Methyltransferase
Durusdinium15050	RNA recognition motif 2
Durusdinium40326	DNA polymerase
Durusdinium42134	Belongs to the DHHC palmitoyltransferase family
Durusdinium54291	Serine-threonine protein phosphatase N-terminal domain
Durusdinium1577	Ring finger protein
Durusdinium32568	Gametolysin peptidase M11
Durusdinium48089	Core component of nucleosome which plays a central role in DNA double strand break (DSB) repair. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling
Durusdinium24666	Iron-binding zinc finger CDGSH type
Durusdinium29894	PFAM regulator of chromosome condensation, RCC1
Durusdinium17228	Belongs to the eukaryotic ribosomal protein P1 P2 family
Durusdinium14982	Lipopolysaccharide kinase (Kdo/WaaP) family
Durusdinium36746	protein polyglycylation
Durusdinium49723	oxidoreductase activity, acting on NAD(P)H, heme protein as acceptor
Durusdinium31540	methenyltetrahydrofolate cyclohydrolase activity
Durusdinium28546	Protein phosphatase 2C
Durusdinium28872	Adenylate and Guanylate cyclase catalytic domain
Durusdinium17909	CTD small phosphatase. Source PGD
Durusdinium27571	Serine/Threonine protein kinases, catalytic domain
Durusdinium41801	threonine-type endopeptidase activity
Durusdinium282	AAA domain, putative AbiEii toxin, Type IV TA system
Durusdinium6906	Alg9-like mannosyltransferase family
Durusdinium36452	proline hydroxylase
Durusdinium28181	response to virus
Durusdinium19891	alkB, alkylation repair homolog 3 (E. coli)
Durusdinium3222	Belongs to the MIP aquaporin (TC 1.A.8) family
Durusdinium30996	Source PGD
Durusdinium17935	protein-cysteine S-palmitoyltransferase activity
Durusdinium18480	Methyltransferase domain
Durusdinium46564	Chlorophyll A-B binding protein
Durusdinium46048	endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Durusdinium22748	MAP kinase kinase activity
Durusdinium38640	aldehyde dehydrogenase (NAD) activity
Durusdinium30419	Domain Homologous to E6-AP Carboxyl Terminus with
Durusdinium52145	guanine transport
Durusdinium54248	E3 ubiquitin-protein ligase
Durusdinium30004	aldo keto reductase
Durusdinium26025	Lipopolysaccharide kinase (Kdo/WaaP) family
Durusdinium8529	Crt homolog
Durusdinium7022	Adaptor complexes medium subunit family
Durusdinium46767	protein serine/threonine kinase activity
Durusdinium20354	acid phosphatase activity
Durusdinium17443	Dimerisation domain
Durusdinium34118	gamma-butyrobetaine dioxygenase activity
Durusdinium11917	NAD/NADP octopine/nopaline dehydrogenase, alpha-helical domain
Durusdinium26065	negative regulation of DNA damage checkpoint
Durusdinium51582	Essential for the assembly of the photosystem I (PSI) complex. May act as a chaperone-like factor to guide the assembly of the PSI subunits
Durusdinium10004	Linear amide C-N hydrolases, choloylglycine hydrolase family
Durusdinium27025	palmitoyl-(protein) hydrolase activity
Durusdinium19909	Leucine rich repeat containing 31
Durusdinium26834	heat shock
Durusdinium37884	TruB pseudouridine (psi) synthase homolog 1 (E. coli)
Durusdinium36370	NAD+ ADP-ribosyltransferase activity
Durusdinium25232	Hydrolase of MutT (Nudix) family protein
Durusdinium19023	endosomal protein p24b
Durusdinium43242	FKBP-type peptidyl-prolyl cis-trans isomerase
Durusdinium25976	ribosomal protein S6 kinase
Durusdinium32036	Belongs to the protein-tyrosine phosphatase family. Non-receptor class dual specificity subfamily
Durusdinium20591	Vault protein inter-alpha-trypsin domain
Durusdinium34406	Alpha-kinase family
Durusdinium31726	Protein kinase C, theta
Durusdinium7248	phosphoserine aminotransferase
Durusdinium28840	Memo-like protein
Durusdinium11307	Dehydrogenase E1 component
Durusdinium28190	Protein kinase domain
Durusdinium33369	receptor-like protein kinase
Durusdinium27630	Radical_SAM C-terminal domain
Durusdinium1584	gluconolactonase
Durusdinium24696	F-Box protein
Durusdinium33404	fatty acid elongation, polyunsaturated fatty acid
Durusdinium43934	Binds specifically to the 3'-terminal U-tract of U6 snRNA
Durusdinium24663	microtubule motor activity
Durusdinium28651	PFAM NHL repeat
Durusdinium6931	Oxidoreductase family, NAD-binding Rossmann fold
Durusdinium14409	deSI-like protein At4g17486
Durusdinium4675	ribosomal RNA small subunit methyltransferase
Durusdinium29495	Bifunctional GMP synthase glutamine amidotransferase protein
Durusdinium19552	Belongs to the small GTPase superfamily. Arf family
Durusdinium49341	Belongs to the ubiquitin-conjugating enzyme family
Durusdinium32968	2OG-Fe(II) oxygenase superfamily
Durusdinium24980	positive regulation of mRNA splicing, via spliceosome
Durusdinium30758	Catalyzes a two-step reaction, first charging a glutamine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA
Durusdinium37854	ABC-2 type transporter
Durusdinium8142	Serine/Threonine protein kinases, catalytic domain
Durusdinium6668	Lys63-specific deubiquitinase activity
Durusdinium14115	2-acylglycerol O-acyltransferase activity
Durusdinium34855	Lipopolysaccharide kinase (Kdo/WaaP) family
Durusdinium17352	Monomeric isocitrate dehydrogenase
Durusdinium44422	SNAP receptor activity
Durusdinium6607	Membrane bound O-acyl transferase family
Durusdinium41526	metallocarboxypeptidase activity. It is involved in the biological process described with proteolysis
Durusdinium54940	Aminotransferase
Durusdinium20918	Had-superfamily hydrolase, subfamily ia, variant 1
Durusdinium52728	Peptidyl-tRNA hydrolase PTH2
Durusdinium49221	protein polyglutamylation
Durusdinium38029	peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine
Durusdinium50378	Surf1-like protein
Durusdinium52987	component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
Durusdinium36499	Flavin containing amine oxidoreductase
Durusdinium28449	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Durusdinium33148	tail specific protease
Durusdinium31089	diacylglycerol kinase activity
Durusdinium44527	Von Willebrand factor A domain-containing protein 8-like
Durusdinium27876	Si ch211-224b1.4
Durusdinium39493	DNA topoisomerase type I activity
Durusdinium23733	Region found in RelA / SpoT proteins
Durusdinium51287	endodermal cell differentiation
Durusdinium33572	Inositol-1-monophosphatase
Durusdinium40259	Lycopene cyclase protein
Durusdinium28801	NADH pyrophosphatase activity
Durusdinium1142	methenyltetrahydrofolate cyclohydrolase activity
Durusdinium35341	Serine/Threonine protein kinases, catalytic domain
Durusdinium7931	Ubiquitin Carboxyl-terminal Hydrolase-like zinc finger
Durusdinium31284	Autophagy-related protein 3
Durusdinium52582	histone serine kinase activity
Durusdinium56295	polyketide synthase
Durusdinium27591	Aminotransferase class I and II
Durusdinium29237	Belongs to the peptidase S10 family
Durusdinium30109	alpha/beta hydrolase fold
Durusdinium30008	phosphoprotein phosphatase activity
Durusdinium43535	PHD zinc finger
Durusdinium41856	COG2335, Secreted and surface protein containing fasciclin-like repeats
Durusdinium32311	SKIP/SNW domain
Durusdinium49990	vesicle-mediated transport
Durusdinium27763	Thiamine monophosphate synthase
